archivo,clase
PMINST_0001.png,1
PMINST_0002.png,1
PMINST_0003.png,0
PMINST_0004.png,0
PMINST_0005.png,0
PMINST_0006.png,1
PMINST_0007.png,0
PMINST_0008.png,1
PMINST_0009.png,0
PMINST_0010.png,1
PMINST_0011.png,1
PMINST_0012.png,0
PMINST_0013.png,1
PMINST_0014.png,1
PMINST_0015.png,0
PMINST_0016.png,0
PMINST_0017.png,0
PMINST_0018.png,1
PMINST_0019.png,1
PMINST_0020.png,0
PMINST_0021.png,1
PMINST_0022.png,1
PMINST_0023.png,1
PMINST_0024.png,1
PMINST_0025.png,0
PMINST_0026.png,1
PMINST_0027.png,1
PMINST_0028.png,1
PMINST_0029.png,1
PMINST_0030.png,1
PMINST_0031.png,0
PMINST_0032.png,0
PMINST_0033.png,1
PMINST_0034.png,0
PMINST_0035.png,1
PMINST_0036.png,1
PMINST_0037.png,0
PMINST_0038.png,0
PMINST_0039.png,0
PMINST_0040.png,0
PMINST_0041.png,1
PMINST_0042.png,0
PMINST_0043.png,0
PMINST_0044.png,1
PMINST_0045.png,1
PMINST_0046.png,0
PMINST_0047.png,1
PMINST_0048.png,0
PMINST_0049.png,1
PMINST_0050.png,0
PMINST_0051.png,1
PMINST_0052.png,1
PMINST_0053.png,1
PMINST_0054.png,1
PMINST_0055.png,0
PMINST_0056.png,1
PMINST_0057.png,1
PMINST_0058.png,0
PMINST_0059.png,0
PMINST_0060.png,1
PMINST_0061.png,0
PMINST_0062.png,1
PMINST_0063.png,1
PMINST_0064.png,0
PMINST_0065.png,0
PMINST_0066.png,1
PMINST_0067.png,1
PMINST_0068.png,1
PMINST_0069.png,0
PMINST_0070.png,0
PMINST_0071.png,0
PMINST_0072.png,0
PMINST_0073.png,0
PMINST_0074.png,0
PMINST_0075.png,1
PMINST_0076.png,0
PMINST_0077.png,0
PMINST_0078.png,0
PMINST_0079.png,1
PMINST_0080.png,1
PMINST_0081.png,1
PMINST_0082.png,1
PMINST_0083.png,0
PMINST_0084.png,0
PMINST_0085.png,0
PMINST_0086.png,0
PMINST_0087.png,0
PMINST_0088.png,1
PMINST_0089.png,1
PMINST_0090.png,0
PMINST_0091.png,0
PMINST_0092.png,0
PMINST_0093.png,0
PMINST_0094.png,0
PMINST_0095.png,1
PMINST_0096.png,0
PMINST_0097.png,0
PMINST_0098.png,1
PMINST_0099.png,0
PMINST_0100.png,0
PMINST_0101.png,1
PMINST_0102.png,1
PMINST_0103.png,0
PMINST_0104.png,1
PMINST_0105.png,0
PMINST_0106.png,0
PMINST_0107.png,1
PMINST_0108.png,1
PMINST_0109.png,1
PMINST_0110.png,0
PMINST_0111.png,1
PMINST_0112.png,1
PMINST_0113.png,1
PMINST_0114.png,1
PMINST_0115.png,0
PMINST_0116.png,1
PMINST_0117.png,0
PMINST_0118.png,0
PMINST_0119.png,0
PMINST_0120.png,1
PMINST_0121.png,1
PMINST_0122.png,1
PMINST_0123.png,0
PMINST_0124.png,0
PMINST_0125.png,1
PMINST_0126.png,0
PMINST_0127.png,1
PMINST_0128.png,1
PMINST_0129.png,0
